sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
ACT_SOIL_KOWEN_UNGERM_BIOFERTILISER_R02	kowen_ungerminated_biofertiliser_R02_BC13	ONT long-read sequencing of soil metagenome: ACT pot trial, Kowen Forest soil, ungerminated seed, biofertiliser, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_ungerminated_biofertiliser_R02_BC13.fastq.gz							
ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R01	kowen_barley_biofertiliser_R01_BC14	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, biofertiliser, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_biofertiliser_R01_BC14.fastq.gz							
ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R02	kowen_barley_biofertiliser_R02_BC15	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, biofertiliser, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_biofertiliser_R02_BC15.fastq.gz							
ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R03	kowen_barley_biofertiliser_R03_BC16	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, biofertiliser, R03	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_biofertiliser_R03_BC16.fastq.gz							
ACT_SOIL_KOWEN_PLANT_CHEMFERTILISER_R01	kowen_barley_chemical_fertiliser_R01_BC17	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, chemical fertiliser, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_chemical_fertiliser_R01_BC17.fastq.gz							
ACT_SOIL_KOWEN_PLANT_CHEMFERTILISER_R02	kowen_barley_chemical_fertiliser_R02_BC18	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, chemical fertiliser, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_chemical_fertiliser_R02_BC18.fastq.gz							
ACT_SOIL_KOWEN_PLANT_WATER_R01	kowen_barley_water_R01_BC19	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, water, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_water_R01_BC19.fastq.gz							
ACT_SOIL_KOWEN_PLANT_WATER_R02	kowen_barley_water_R02_BC20	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, Kowen Forest soil, planted, water, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_barley_water_R02_BC20.fastq.gz							
ACT_SOIL_BIOFERTILISER_ONLY_R01	NA_NA_biofertiliser_R01_BC21	ONT long-read sequencing of biofertiliser metagenome: humus biofertiliser material only control, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			NA_NA_biofertiliser_R01_BC21.fastq.gz							
ACT_SOIL_KOWEN_NOPLANT_BIOFERTILISER_R01	kowen_noplant_biofertiliser_R01_BC22	ONT long-read sequencing of soil metagenome: ACT pot trial, Kowen Forest soil, no plant, biofertiliser, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_noplant_biofertiliser_R01_BC22.fastq.gz							
ACT_SOIL_KOWEN_NOPLANT_WATER_R01	kowen_noplant_water_R01_BC23	ONT long-read sequencing of soil metagenome: ACT pot trial, Kowen Forest soil, no plant, water, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			kowen_noplant_water_R01_BC23.fastq.gz							
