,Sample.ID,name,core,x,y,Sampled.Date,Analysed.Date,time,Upper_Depth,Lower_Depth,Moisture..air.dried.sample,X15E1.CEC.cmol..kg,X15E1.Calcium..Amm.acet...cmol..kg,X15E1.Potassium..Amm.acet...cmol..kg,X15E1.Magnesium..Amm.acet...cmol..kg,X15E1.Sodium..Amm.acet...cmol..kg,X3A1.Electrical.Conductivity.1.dS.m,X4B2.pH..1.5.CaCl2,X4A1.pH..1.5.Water,X7A5.Total.Nitrogen..Combustion..,X6B2.Total.Organic.Carbon.Combustion..
94,NSC 28 5,1_NSC28_5_10,28,148.6838536,-34.47468417,1/01/2019,9/06/2022,1,5,10,0.7,6.78,5.9,0.45,0.43,<0.02,0.11,6.5,7.1,0.09,0.98
97,NSC 29 5,1_NSC29_5_10,29,148.6840903,-34.47454565,1/01/2019,9/06/2022,1,5,10,0.8,10.12,8.8,0.79,0.53,<0.02,0.12,7.3,7.9,0.12,1.06
103,NSC 30 0,1_NSC30_0_5,30,148.6837694,-34.47428859,1/01/2019,9/06/2022,1,0,5,0.9,5.98,5.2,0.41,0.37,<0.02,0.08,6.7,7.4,0.08,0.73
106,NSC 33 0,1_NSC33_0_5,33,148.6881122,-34.47313763,1/01/2019,9/06/2022,1,0,5,0.62,6.9,5.9,0.67,0.33,<0.02,0.07,7,7.8,0.14,1.19
110,NSC 33 5,1_NSC33_5_10,33,148.6881122,-34.47313763,1/01/2019,9/06/2022,1,5,10,0.55,5.48,4.6,0.55,0.33,<0.02,0.05,6.7,7.4,0.1,0.91
113,NSC 36 0,1_NSC36_0_5,36,148.6841128,-34.47512242,1/01/2019,9/06/2022,1,0,5,0.79,7.91,6.8,0.61,0.5,<0.02,0.03,6.9,7.6,0.11,1.09
116,NSC 36 10,1_NSC36_10_15,36,148.6841128,-34.47512242,1/01/2019,9/06/2022,1,10,15,1.3,3.55,2.9,0.33,0.32,<0.02,0.04,5,5.9,0.09,0.57
119,NSC 38 10,1_NSC38_10_15,38,148.6856568,-34.47447897,1/01/2019,9/06/2022,1,10,15,0.38,3.26,2.6,0.44,0.22,<0.02,0.04,5.1,5.9,0.05,0.39
122,NSC 39 0,1_NSC39_0_5,39,148.6865946,-34.47400617,1/01/2019,9/06/2022,1,0,5,0.35,2.35,1.8,0.35,0.2,<0.02,0.07,4.5,5.2,0.08,0.75
125,NSC 39 15,1_NSC39_15_20,39,148.6865946,-34.47400617,1/01/2019,9/06/2022,1,15,20,0.26,2.06,1.6,0.31,0.15,<0.02,0.03,4.9,5.8,0.06,0.29
131,NSC 40 0,1_NSC40_0_5,40,148.6871256,-34.47388162,1/01/2019,9/06/2022,1,0,5,0.4,6,5.1,0.6,0.3,<0.02,0.11,6.6,7.1,0.1,0.97
137,NSC 41 0,1_NSC41_0_5,41,148.6877746,-34.47313328,1/01/2019,9/06/2022,1,0,5,0.88,3.96,3.1,0.56,0.3,<0.02,0.13,5.1,5.7,0.09,0.89
