name,core,location_x,location_y,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg,,
1_NSC39_15_20,39,148.6865946,-34.47400617,2019,15,20,0.03,4.9,5.8,0.0600,0.290,0.26,2.06,1.6,0.31,0.15,<0.02,,
1_NSC40_0_5,40,148.6871256,-34.47388162,2019,0,5,0.11,6.6,7.1,0.1000,0.970,0.4,6,5.1,0.6,0.3,<0.02,,
1_NSC41_0_5,41,148.6877746,-34.47313328,2019,0,5,0.13,5.1,5.7,0.0900,0.890,0.88,3.96,3.1,0.56,0.3,<0.02,,
1_NSC41_15_20,41,148.6877746,-34.47313328,2019,15,20,0.03,5.5,6.3,0.0500,0.390,1.3,3.053,2.4,0.4,0.23,0.023,,
1_NSC43_0_5,43,148.6846028,-34.47458367,2019,0,5,0.11,7.2,7.8,0.1200,1.080,0.64,9.29,8,0.73,0.56,<0.02,,
1_NSC45_5_10,45,148.6845872,-34.47489046,2019,5,10,0.1,6.6,7.2,0.0900,0.980,0.76,7.004,5.9,0.68,0.4,0.024,,
1_NSC45_10_15,45,148.6845872,-34.47489046,2019,10,15,0.06,5.5,6.3,0.0700,0.730,1.3,4.466,3.5,0.62,0.32,0.026,,
1_NSC46_10_15,46,148.6869661,-34.47407318,2019,10,15,0.03,5.4,6.3,<0.05,0.450,0.83,3.794,3.1,0.25,0.42,0.024,,
1_NSC49_0_5,49,148.6847412,-34.47496949,2019,0,5,0.13,7.2,7.8,0.1500,1.790,1.3,11.71,10,0.89,0.82,<0.02,,
1_NSC50_5_10,50,148.6853223,-34.47516886,2019,5,10,0.11,7.3,7.8,0.0900,1.090,0.65,9.56,8.5,0.59,0.47,<0.02,,
1_NSC51_0_5,51,148.6866646,-34.47423964,2019,0,5,0.09,6.7,7.3,0.0600,0.690,1.9,5.34,4.8,0.38,0.16,<0.02,,
1_NSC52_5_10,52,148.6877886,-34.47382738,2019,5,10,0.1,7.2,7.7,0.0900,0.870,0.44,6.84,6.1,0.45,0.29,<0.02,,
1_NSC53_5_10,53,148.6856926,-34.47463176,2019,5,10,0.07,6.5,7.1,0.0600,0.630,0.5,5.43,4.8,0.39,0.24,<0.02,,
1_NSC55_5_10,55,148.6875916,-34.473776,2019,5,10,0.07,6.5,7.2,0.0800,0.950,2.1,6.08,5.2,0.54,0.34,<0.02,,
1_NSC58_10_15,58,148.6842518,-34.47553528,2019,10,15,0.06,6.8,7.5,0.0500,0.520,0.26,4.94,4.5,0.29,0.15,<0.02,,
1_NSC59_5_10,59,148.6864941,-34.47442233,2019,5,10,0.08,7.1,7.7,0.0700,0.710,0.24,6.52,5.9,0.43,0.19,<0.02,,
1_NSC59_10_15,59,148.6864941,-34.47442233,2019,10,15,0.04,5.6,6.4,0.0700,0.360,0.23,2.68,2.2,0.38,0.1,<0.02,,
2_NSC01_5_10,1,148.687232,-34.47268092,2023,5,10,0.02,6.1,6.8,0.0799,1.205,,,,,,,,
2_NSC03_0_5,3,148.6845149,-34.47345778,2023,0,5,0.02,6,7.1,0.1351,1.823,,,,,,,,
2_NSC03_5_10,3,148.6845149,-34.47345778,2023,5,10,0.01,5,7.5,0.0673,0.774,,,,,,,,
2_NSC04_10_15,4,148.6846819,-34.47364483,2023,10,15,0.01,5.8,7.4,0.0647,0.886,,,,,,,,
2_NSC04_5_10,4,148.6846819,-34.47364483,2023,5,10,0.01,5.3,7.2,0.0495,0.664,,,,,,,,
2_NSC06_0_5,6,148.6850792,-34.47336885,2023,0,5,0.02,5.7,6.5,0.1282,1.897,,,,,,,,
2_NSC07_10_15,7,148.6867469,-34.47292205,2023,10,15,0.01,6,6.9,0.0596,0.736,,,,,,,,
2_NSC07_15_20,7,148.6867469,-34.47292205,2023,15,20,0.01,6,6.9,0.0262,0.362,,,,,,,,
2_NSC08_0_5,8,148.6863845,-34.47276475,2023,0,5,0.02,5.8,6.5,0.1273,1.814,,,,,,,,
2_NSC08_15_20,8,148.6863845,-34.47276475,2023,15,20,0,5.9,7.1,0.0214,0.277,,,,,,,,
2_NSC09_5_10,9,148.6873071,-34.47262578,2023,5,10,0.01,5.9,6.8,0.0724,0.851,,,,,,,,
2_NSC10_10_15,10,148.6848815,-34.47328141,2023,10,15,0.02,5.9,6.6,0.0574,0.749,,,,,,,,
2_NSC15_10_15,15,148.6855308,-34.4730831,2023,10,15,0.01,6,7,0.0338,0.472,,,,,,,,
2_NSC16_0_5,16,148.6856973,-34.47378412,2023,0,5,0.03,5.9,6.8,0.0960,2.390,,,,,,,,
2_NSC17_0_5,17,148.6876939,-34.47290898,2023,0,5,0.03,5.7,6.6,0.0888,1.364,,,,,,,,
2_NSC17_10_15,17,148.6876939,-34.47290898,2023,10,15,0.02,5.7,6.6,0.0998,1.477,,,,,,,,
2_NSC17_5_10,17,148.6876939,-34.47290898,2023,5,10,0.01,5.6,6.7,0.0506,0.678,,,,,,,,
2_NSC18_15_20,18,148.6855964,-34.47364124,2023,15,20,0.01,5.6,6.7,0.0245,0.309,,,,,,,,
2_NSC20_15_20,20,148.6840205,-34.4743212,2023,15,20,0.01,5.6,6.6,0.0188,0.249,,,,,,,,
2_NSC21_10_15,21,148.6872984,-34.47327511,2023,10,15,0.01,5.6,6.6,0.0580,0.794,,,,,,,,
2_NSC21_15_20,21,148.6872984,-34.47327511,2023,15,20,0.01,5.5,6.6,0.0628,0.790,,,,,,,,
2_NSC21_5_10,21,148.6872984,-34.47327511,2023,5,10,0,5.6,6.6,0.0189,0.205,,,,,,,,
2_NSC22_0_5,22,148.6852717,-34.47373589,2023,0,5,0.02,5.3,6.4,0.0840,1.127,,,,,,,,
2_NSC23_5_10,23,148.6847989,-34.47404898,2023,5,10,0.02,6,6.5,0.0714,0.931,,,,,,,,
2_NSC24_0_5,24,148.6857982,-34.47392699,2023,0,5,0.01,5.1,6.4,0.0956,1.403,,,,,,,,
2_NSC24_5_10,24,148.6857982,-34.47392699,2023,5,10,0.01,4.9,6.6,0.0427,0.743,,,,,,,,
