sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	core	upper_depth_cm	lower_depth_cm	['Electrical_Conductivity_dSm']	pH_CaCl2	pH_water	['Total_Nitrogen_Combustion_%']	Total_Organic_Carbon_Combustion_%	['moisture_content']	CEC_NH4Ac_cmol_kg	Ca_NH4Ac_cmol_kg	K_NH4Ac_cmol_kg	Mg_NH4Ac_cmol_kg	Na_NH4Ac_cmol_kg
1_NSC07_20_25			soil metagenome	environmental soil	2019 agricultural soil core 7, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47292205 S 148.6867469 E								7	20	25	0.03	5.5	6.5	<0.05	0.23	0.63	2.63	2	0.27	0.36	<0.02
1_NSC08_0_5			soil metagenome	environmental soil	2019 agricultural soil core 8, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47276475 S 148.6863845 E								8	0	5	0.12	6	6.7	0.11	1.26	0.43	7.175	5.7	0.79	0.66	0.025
1_NSC08_15_20			soil metagenome	environmental soil	2019 agricultural soil core 8, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47276475 S 148.6863845 E								8	15	20	0.04	5.9	6.8	0.05	0.52	0.41	4.662	3.3	0.48	0.83	0.052
1_NSC08_35_40			soil metagenome	environmental soil	2019 agricultural soil core 8, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47276475 S 148.6863845 E								8	35	40	0.04	6.8	7.9	<0.05	0.17	0.63	4.45	2.9	0.56	0.89	0.1
1_NSC09_5_10			soil metagenome	environmental soil	2019 agricultural soil core 9, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47262578 S 148.6873071 E								9	5	10	0.05	5.8	6.7	0.11	1.14	2.1	9.64	7.5	0.84	1.3	<0.02
1_NSC09_25_30			soil metagenome	environmental soil	2019 agricultural soil core 9, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47262578 S 148.6873071 E								9	25	30	0.05	5.7	6.6	0.12	0.9	2	16.026	11	1.2	3.8	0.026
1_NSC09_45_50			soil metagenome	environmental soil	2019 agricultural soil core 9, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47262578 S 148.6873071 E								9	45	50	0.05	6.5	7.3	0.08	0.5	2.4	18.649	13	0.88	4.7	0.069
1_NSC10_10_15			soil metagenome	environmental soil	2019 agricultural soil core 10, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47328141 S 148.6848815 E								10	10	15	0.05	5.4	6.1	0.11	0.92	1.2	4.64	3.8	0.32	0.52	<0.02
1_NSC10_25_30			soil metagenome	environmental soil	2019 agricultural soil core 10, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47328141 S 148.6848815 E								10	25	30	0.02	4.6	5.7	<0.05	0.34	0.78	5.32	3.6	0.22	1.5	<0.02
1_NSC10_30_35			soil metagenome	environmental soil	2019 agricultural soil core 10, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47328141 S 148.6848815 E								10	30	35	0.02	4.9	6	<0.05	0.36	1.1	9.812	6.2	0.28	3.3	0.032
