sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	core	upper_depth_cm	lower_depth_cm	['Electrical_Conductivity_dSm']	pH_CaCl2	pH_water	['Total_Nitrogen_Combustion_%']	Total_Organic_Carbon_Combustion_%	['moisture_content']	CEC_NH4Ac_cmol_kg	Ca_NH4Ac_cmol_kg	K_NH4Ac_cmol_kg	Mg_NH4Ac_cmol_kg	Na_NH4Ac_cmol_kg
1_NSC30_45_50			soil metagenome	environmental soil	2019 agricultural soil core 30, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47428859 S 148.6837694 E								30	45	50	0.03	5.7	6.6	<0.05	0.15	1.1	5.758	3.4	0.53	1.8	0.028
1_NSC31_20_25			soil metagenome	environmental soil	2019 agricultural soil core 31, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47425527 S 148.6861858 E								31	20	25	0.02	5.2	6.2	<0.05	0.17	0.37	2.17	1.6	0.26	0.31	<0.02
1_NSC31_25_30			soil metagenome	environmental soil	2019 agricultural soil core 31, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47425527 S 148.6861858 E								31	25	30	0.03	4.9	5.9	<0.05	0.28	0.57	3.66	2.7	0.4	0.56	<0.02
1_NSC31_30_35			soil metagenome	environmental soil	2019 agricultural soil core 31, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47425527 S 148.6861858 E								31	30	35	0.03	5	5.9	0.05	0.35	0.68	4.16	3	0.49	0.67	<0.02
1_NSC31_40_45			soil metagenome	environmental soil	2019 agricultural soil core 31, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47425527 S 148.6861858 E								31	40	45	0.03	5.1	6.1	<0.05	0.3	0.72	3.33	2.2	0.52	0.61	<0.02
1_NSC32_0_5			soil metagenome	environmental soil	2019 agricultural soil core 32, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47372718 S 148.6865563 E								32	0	5	0.13	6.5	7	0.08	0.68	0.6	4.93	4.4	0.34	0.19	<0.02
1_NSC32_35_40			soil metagenome	environmental soil	2019 agricultural soil core 32, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47372718 S 148.6865563 E								32	35	40	0.02	4.4	5.4	<0.05	0.15	0.5	1.52	1.1	0.24	0.18	<0.02
1_NSC32_40_45			soil metagenome	environmental soil	2019 agricultural soil core 32, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47372718 S 148.6865563 E								32	40	45	0.02	4.6	5.5	<0.05	0.22	0.51	2.25	1.6	0.35	0.3	<0.02
1_NSC32_45_50			soil metagenome	environmental soil	2019 agricultural soil core 32, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47372718 S 148.6865563 E								32	45	50	0.02	4.7	5.7	<0.05	0.21	0.65	2.69	1.9	0.39	0.4	<0.02
1_NSC33_0_5			soil metagenome	environmental soil	2019 agricultural soil core 33, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47313763 S 148.6881122 E								33	0	5	0.07	7	7.8	0.14	1.19	0.62	6.9	5.9	0.67	0.33	<0.02
1_NSC33_5_10			soil metagenome	environmental soil	2019 agricultural soil core 33, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47313763 S 148.6881122 E								33	5	10	0.05	6.7	7.4	0.1	0.91	0.55	5.48	4.6	0.55	0.33	<0.02
1_NSC33_40_45			soil metagenome	environmental soil	2019 agricultural soil core 33, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47313763 S 148.6881122 E								33	40	45	0.06	6.8	7.8	<0.05	0.3	1	7.04	3.9	1	1.9	0.24
1_NSC34_25_30			soil metagenome	environmental soil	2019 agricultural soil core 34, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47357288 S 148.6879359 E								34	25	30	0.03	5.1	6	<0.05	0.15	0.33	1.71	1.2	0.34	0.17	<0.02
1_NSC34_30_35			soil metagenome	environmental soil	2019 agricultural soil core 34, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47357288 S 148.6879359 E								34	30	35	0.03	5.2	6.2	<0.05	0.21	0.54	2.78	1.8	0.54	0.44	<0.02
1_NSC34_40_45			soil metagenome	environmental soil	2019 agricultural soil core 34, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47357288 S 148.6879359 E								34	40	45	0.05	5.5	6.4	0.06	0.29	1.1	7.5	4.4	1.5	1.6	<0.02
1_NSC34_45_50			soil metagenome	environmental soil	2019 agricultural soil core 34, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47357288 S 148.6879359 E								34	45	50	0.04	5.8	6.7	<0.05	0.27	1	7.2	4.1	1.5	1.6	<0.02
1_NSC35_15_20			soil metagenome	environmental soil	2019 agricultural soil core 35, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47470147 S 148.6852149 E								35	15	20	0.03	4.7	5.6	<0.05	0.35	0.49	2.3	1.7	0.25	0.32	0.03
1_NSC35_25_30			soil metagenome	environmental soil	2019 agricultural soil core 35, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47470147 S 148.6852149 E								35	25	30	0.02	4.8	6	<0.05	0.32	3.067	1.8	0.36	0.82	0.087	
1_NSC35_40_45			soil metagenome	environmental soil	2019 agricultural soil core 35, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47470147 S 148.6852149 E								35	40	45	0.03	5.6	6.7	<0.05	0.33	7.41	3.9	0.7	2.6	0.21	
1_NSC36_0_5			soil metagenome	environmental soil	2019 agricultural soil core 36, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47512242 S 148.6841128 E								36	0	5	0.03	6.9	7.6	0.11	1.09	0.79	7.91	6.8	0.61	0.5	<0.02
1_NSC36_10_15			soil metagenome	environmental soil	2019 agricultural soil core 36, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47512242 S 148.6841128 E								36	10	15	0.04	5	5.9	0.09	0.57	1.3	3.55	2.9	0.33	0.32	<0.02
1_NSC36_40_45			soil metagenome	environmental soil	2019 agricultural soil core 36, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47512242 S 148.6841128 E								36	40	45	0.02	6	6.9	<0.05	0.27	3.9	6.574	4.3	0.53	1.7	0.044
1_NSC37_15_20			soil metagenome	environmental soil	2019 agricultural soil core 37, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47436043 S 148.6857524 E								37	15	20	0.04	5.8	6.5	<0.05	0.32	0.38	3.35	2.7	0.4	0.25	<0.02
1_NSC37_30_35			soil metagenome	environmental soil	2019 agricultural soil core 37, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47436043 S 148.6857524 E								37	30	35	0.03	5	5.9	<0.05	0.37	0.69	3.9	2.6	0.59	0.71	<0.02
1_NSC37_35_40			soil metagenome	environmental soil	2019 agricultural soil core 37, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47436043 S 148.6857524 E								37	35	40	0.04	5.2	6	0.06	0.42	1.1	5.85	3.7	0.85	1.3	<0.02
1_NSC38_10_15			soil metagenome	environmental soil	2019 agricultural soil core 38, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47447897 S 148.6856568 E								38	10	15	0.04	5.1	5.9	0.05	0.39	0.38	3.26	2.6	0.44	0.22	<0.02
1_NSC38_30_35			soil metagenome	environmental soil	2019 agricultural soil core 38, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47447897 S 148.6856568 E								38	30	35	0.04	4.6	5.6	0.06	0.31	0.68	4.36	2.9	0.8	0.66	<0.02
1_NSC38_45_50			soil metagenome	environmental soil	2019 agricultural soil core 38, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47447897 S 148.6856568 E								38	45	50	0.04	5.6	6.5	0.06	0.3	0.93	5.9	3.8	1.1	1	<0.02
1_NSC39_0_5			soil metagenome	environmental soil	2019 agricultural soil core 39, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47400617 S 148.6865946 E								39	0	5	0.07	4.5	5.2	0.08	0.75	0.35	2.35	1.8	0.35	0.2	<0.02
1_NSC39_15_20			soil metagenome	environmental soil	2019 agricultural soil core 39, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47400617 S 148.6865946 E								39	15	20	0.03	4.9	5.8	0.06	0.29	0.26	2.06	1.6	0.31	0.15	<0.02
1_NSC39_35_40			soil metagenome	environmental soil	2019 agricultural soil core 39, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47400617 S 148.6865946 E								39	35	40	0.02	4.9	6	<0.05	0.21	0.33	2.57	1.9	0.32	0.35	<0.02
1_NSC40_0_5			soil metagenome	environmental soil	2019 agricultural soil core 40, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47388162 S 148.6871256 E								40	0	5	0.11	6.6	7.1	0.1	0.97	0.4	6	5.1	0.6	0.3	<0.02
1_NSC40_15_20			soil metagenome	environmental soil	2019 agricultural soil core 40, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47388162 S 148.6871256 E								40	15	20	0.03	6	6.8	0.06	0.39	0.36	3.774	3	0.41	0.34	0.024
1_NSC40_25_30			soil metagenome	environmental soil	2019 agricultural soil core 40, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47388162 S 148.6871256 E								40	25	30	0.02	5.9	6.9	<0.05	0.22	0.39	4.35	3.3	0.43	0.62	<0.02
1_NSC41_0_5			soil metagenome	environmental soil	2019 agricultural soil core 41, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47313328 S 148.6877746 E								41	0	5	0.13	5.1	5.7	0.09	0.89	0.88	3.96	3.1	0.56	0.3	<0.02
1_NSC41_15_20			soil metagenome	environmental soil	2019 agricultural soil core 41, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47313328 S 148.6877746 E								41	15	20	0.03	5.5	6.3	0.05	0.39	1.3	3.053	2.4	0.4	0.23	0.023
1_NSC41_25_30			soil metagenome	environmental soil	2019 agricultural soil core 41, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47313328 S 148.6877746 E								41	25	30	0.03	5.2	6.2	0.05	0.21	0.36	2.45	1.7	0.37	0.38	<0.02
1_NSC42_0_5			soil metagenome	environmental soil	2019 agricultural soil core 42, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47361029 S 148.6878387 E								42	0	5	0.11	6.8	7.4	0.11	0.86	0.59	6.79	5.9	0.6	0.29	<0.02
1_NSC42_20_25			soil metagenome	environmental soil	2019 agricultural soil core 42, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47361029 S 148.6878387 E								42	20	25	0.03	5.6	6.5	<0.05	0.23	0.57	2.24	1.6	0.44	0.2	<0.02
1_NSC42_30_35			soil metagenome	environmental soil	2019 agricultural soil core 42, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47361029 S 148.6878387 E								42	30	35	0.02	5.7	6.7	<0.05	0.21	0.52	2.21	1.5	0.42	0.29	<0.02
1_NSC42_40_45			soil metagenome	environmental soil	2019 agricultural soil core 42, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47361029 S 148.6878387 E								42	40	45	0.04	6	6.9	0.07	0.34	0.85	7.2	4	1.2	2	<0.02
1_NSC43_0_5			soil metagenome	environmental soil	2019 agricultural soil core 43, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47458367 S 148.6846028 E								43	0	5	0.11	7.2	7.8	0.12	1.08	0.64	9.29	8	0.73	0.56	<0.02
1_NSC43_20_25			soil metagenome	environmental soil	2019 agricultural soil core 43, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47458367 S 148.6846028 E								43	20	25	0.02	5.2	6.2	<0.05	0.24	1.1	3.16	2.2	0.41	0.55	<0.02
1_NSC43_25_30			soil metagenome	environmental soil	2019 agricultural soil core 43, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47458367 S 148.6846028 E								43	25	30	0.03	5.4	6.3	<0.05	0.25	0.47	3.56	2.4	0.4	0.76	<0.02
1_NSC43_35_40			soil metagenome	environmental soil	2019 agricultural soil core 43, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47458367 S 148.6846028 E								43	35	40	0.03	5.9	6.8	<0.05	0.25	2	5.45	3.4	0.52	1.5	0.03
1_NSC44_40_45			soil metagenome	environmental soil	2019 agricultural soil core 44, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47488338 S 148.6837923 E								44	40	45	0.03	5.7	6.6	<0.05	0.24	3.8	5.839	3.3	0.58	1.9	0.059
1_NSC44_45_50			soil metagenome	environmental soil	2019 agricultural soil core 44, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47488338 S 148.6837923 E								44	45	50	0.03	5.7	6.7	<0.05	0.28	5	6.068	3.3	0.57	2.1	0.098
1_NSC45_5_10			soil metagenome	environmental soil	2019 agricultural soil core 45, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47489046 S 148.6845872 E								45	5	10	0.1	6.6	7.2	0.09	0.98	0.76	7.004	5.9	0.68	0.4	0.024
1_NSC45_10_15			soil metagenome	environmental soil	2019 agricultural soil core 45, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47489046 S 148.6845872 E								45	10	15	0.06	5.5	6.3	0.07	0.73	1.3	4.466	3.5	0.62	0.32	0.026
1_NSC45_35_40			soil metagenome	environmental soil	2019 agricultural soil core 45, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47489046 S 148.6845872 E								45	35	40	0.02	6.2	7.3	<0.05	0.21	1.9	5.442	3.9	0.59	0.93	0.022
1_NSC46_10_15			soil metagenome	environmental soil	2019 agricultural soil core 46, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47407318 S 148.6869661 E								46	10	15	0.03	5.4	6.3	<0.05	0.45	0.83	3.794	3.1	0.25	0.42	0.024
1_NSC46_20_25			soil metagenome	environmental soil	2019 agricultural soil core 46, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47407318 S 148.6869661 E								46	20	25	0.04	4.5	5.3	<0.05	0.3	0.4	2.819	2	0.28	0.51	0.029
1_NSC46_30_35			soil metagenome	environmental soil	2019 agricultural soil core 46, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47407318 S 148.6869661 E								46	30	35	0.02	4.9	6	<0.05	0.15	0.6	1.53	1	0.24	0.29	<0.02
1_NSC47_20_25			soil metagenome	environmental soil	2019 agricultural soil core 47, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47424354 S 148.6876881 E								47	20	25	0.02	4.4	5.7	<0.05	0.37	0.92	1.54	1.1	0.31	0.13	<0.02
1_NSC47_30_35			soil metagenome	environmental soil	2019 agricultural soil core 47, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47424354 S 148.6876881 E								47	30	35	0.02	4.9	6	<0.05	0.2	0.25	1.56	1.1	0.28	0.18	<0.02
1_NSC47_35_40			soil metagenome	environmental soil	2019 agricultural soil core 47, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47424354 S 148.6876881 E								47	35	40	0.02	5.4	6.6	<0.05	0.19	1.1	1.9	1.3	0.35	0.25	<0.02
1_NSC48_25_30			soil metagenome	environmental soil	2019 agricultural soil core 48, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47529264 S 148.6841924 E								48	25	30	0.03	4.8	5.8	<0.05	0.27	0.56	2.57	1.8	0.43	0.34	<0.02
1_NSC48_30_35			soil metagenome	environmental soil	2019 agricultural soil core 48, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47529264 S 148.6841924 E								48	30	35	0.02	5.5	6.4	<0.05	0.34	0.84	3.78	2.7	0.5	0.58	<0.02
1_NSC48_40_45			soil metagenome	environmental soil	2019 agricultural soil core 48, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47529264 S 148.6841924 E								48	40	45	0.04	6	6.9	<0.05	0.29	1	5.78	4.1	0.58	1.1	<0.02
1_NSC49_0_5			soil metagenome	environmental soil	2019 agricultural soil core 49, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47496949 S 148.6847412 E								49	0	5	0.13	7.2	7.8	0.15	1.79	1.3	11.71	10	0.89	0.82	<0.02
1_NSC49_20_25			soil metagenome	environmental soil	2019 agricultural soil core 49, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47496949 S 148.6847412 E								49	20	25	0.05	6.4	7.3	0.05	0.48	0.7	6.179	4.4	0.82	0.93	0.029
1_NSC49_40_45			soil metagenome	environmental soil	2019 agricultural soil core 49, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47496949 S 148.6847412 E								49	40	45	0.04	6.6	7.7	<0.05	0.33	2.7	7.286	4.6	1.1	1.5	0.086
1_NSC50_5_10			soil metagenome	environmental soil	2019 agricultural soil core 50, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47516886 S 148.6853223 E								50	5	10	0.11	7.3	7.8	0.09	1.09	0.65	9.56	8.5	0.59	0.47	<0.02
1_NSC50_25_30			soil metagenome	environmental soil	2019 agricultural soil core 50, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.475169 S 148.685322 E								50	25	30	0.03	4.6	5.6	0.06	0.45	0.79	4.21	2.5	0.61	1.1	<0.02
1_NSC50_40_45			soil metagenome	environmental soil	2019 agricultural soil core 50, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.475169 S 148.685322 E								50	40	45	0.03	5.5	6.4	<0.05	0.43	1.5	7.959	4.3	0.61	3	0.049
1_NSC51_0_5			soil metagenome	environmental soil	2019 agricultural soil core 51, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47423964 S 148.6866646 E								51	0	5	0.09	6.7	7.3	0.06	0.69	1.9	5.34	4.8	0.38	0.16	<0.02
1_NSC51_25_30			soil metagenome	environmental soil	2019 agricultural soil core 51, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47423964 S 148.6866646 E								51	25	30	0.02	4.2	5.1	<0.05	0.23	0.39	1.22	0.85	0.26	0.11	<0.02
1_NSC51_30_35			soil metagenome	environmental soil	2019 agricultural soil core 51, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47423964 S 148.6866646 E								51	30	35	0.03	4.3	5.2	<0.05	0.19	0.38	1.45	0.99	0.3	0.16	<0.02
1_NSC51_35_40			soil metagenome	environmental soil	2019 agricultural soil core 51, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47423964 S 148.6866646 E								51	35	40	0.03	4.4	5.2	<0.05	0.15	0.39	1.73	1.2	0.32	0.21	<0.02
1_NSC52_5_10			soil metagenome	environmental soil	2019 agricultural soil core 52, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47382738 S 148.6877886 E								52	5	10	0.1	7.2	7.7	0.09	0.87	0.44	6.84	6.1	0.45	0.29	<0.02
1_NSC52_15_20			soil metagenome	environmental soil	2019 agricultural soil core 52, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47382738 S 148.6877886 E								52	15	20	0.03	5.3	6.3	<0.05	0.23	0.28	1.76	1.3	0.27	0.19	<0.02
1_NSC52_20_25			soil metagenome	environmental soil	2019 agricultural soil core 52, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47382738 S 148.6877886 E								52	20	25	0.03	5.2	6.1	<0.05	0.19	0.7	1.82	1.3	0.31	0.21	<0.02
1_NSC52_40_45			soil metagenome	environmental soil	2019 agricultural soil core 52, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47382738 S 148.6877886 E								52	40	45	0.04	5.4	6.2	<0.05	0.24	0.91	4.803	3	0.57	1.2	0.033
1_NSC53_5_10			soil metagenome	environmental soil	2019 agricultural soil core 53, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47463176 S 148.6856926 E								53	5	10	0.07	6.5	7.1	0.06	0.63	0.5	5.43	4.8	0.39	0.24	<0.02
1_NSC53_20_25			soil metagenome	environmental soil	2019 agricultural soil core 53, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47463176 S 148.6856926 E								53	20	25	0.03	4.2	5.1	<0.05	0.24	0.5	1.84	1.2	0.39	0.25	<0.02
1_NSC53_45_50			soil metagenome	environmental soil	2019 agricultural soil core 53, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47463176 S 148.6856926 E								53	45	50	0.03	5.7	6.5	<0.05	0.26	1.2	6.87	3.9	0.87	2.1	<0.02
1_NSC54_25_30			soil metagenome	environmental soil	2019 agricultural soil core 54, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47366257 S 148.6879704 E								54	25	30	0.02	4.9	6	<0.05	0.18	0.28	1.41	1	0.28	0.13	<0.02
1_NSC54_30_35			soil metagenome	environmental soil	2019 agricultural soil core 54, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47366257 S 148.6879704 E								54	30	35	0.02	5.1	6.2	<0.05	0.17	0.55	1.6	1.1	0.32	0.18	<0.02
1_NSC54_40_45			soil metagenome	environmental soil	2019 agricultural soil core 54, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47366257 S 148.6879704 E								54	40	45	0.02	5.5	6.6	<0.05	0.18	0.29	1.97	1.4	0.3	0.27	<0.02
1_NSC55_5_10			soil metagenome	environmental soil	2019 agricultural soil core 55, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.473776 S 148.6875916 E								55	5	10	0.07	6.5	7.2	0.08	0.95	2.1	6.08	5.2	0.54	0.34	<0.02
1_NSC55_25_30			soil metagenome	environmental soil	2019 agricultural soil core 55, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.473776 S 148.6875916 E								55	25	30	0.02	5.2	6.3	<0.05	0.23	1.6	2.631	1.8	0.38	0.41	0.041
1_NSC55_35_40			soil metagenome	environmental soil	2019 agricultural soil core 55, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.473776 S 148.6875916 E								55	35	40	0.02	5.7	6.9	0.07	0.2	3.3	4.407	2.8	0.65	0.93	0.027
1_NSC56_25_30			soil metagenome	environmental soil	2019 agricultural soil core 56, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47437951 S 148.6869832 E								56	25	30	0.02	4.7	5.7	<0.05	0.2	0.31	2	1.4	0.27	0.33	<0.02
1_NSC56_30_35			soil metagenome	environmental soil	2019 agricultural soil core 56, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47437951 S 148.6869832 E								56	30	35	0.02	5.1	6.2	<0.05	0.2	0.34	2.87	2	0.31	0.56	<0.02
1_NSC56_40_45			soil metagenome	environmental soil	2019 agricultural soil core 56, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47437951 S 148.6869832 E								56	40	45	0.03	5.5	6.4	<0.05	0.21	0.55	5.412	3.5	0.48	1.4	0.032
1_NSC56_45_50			soil metagenome	environmental soil	2019 agricultural soil core 56, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47437951 S 148.6869832 E								56	45	50	0.03	5.7	6.7	<0.05	0.17	0.6	5.551	3.5	0.51	1.5	0.041
1_NSC57_30_35			soil metagenome	environmental soil	2019 agricultural soil core 57, 30_35 cm	2019	Australia: New South Wales, Boorowa	34.47524487 S 148.6843875 E								57	30	35	0.05	5	5.7	<0.05	0.24	0.53	4.588	3.1	0.46	1	0.028
1_NSC57_40_45			soil metagenome	environmental soil	2019 agricultural soil core 57, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47524487 S 148.6843875 E								57	40	45	0.03	5.6	6.5	<0.05	0.21	0.78	5.837	3.9	0.49	1.4	0.047
1_NSC57_45_50			soil metagenome	environmental soil	2019 agricultural soil core 57, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47524487 S 148.6843875 E								57	45	50	0.03	5.8	6.8	0.05	0.36	0.77	6.28	4.3	0.42	1.5	0.06
1_NSC58_10_15			soil metagenome	environmental soil	2019 agricultural soil core 58, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47553528 S 148.6842518 E								58	10	15	0.06	6.8	7.5	0.05	0.52	0.26	4.94	4.5	0.29	0.15	<0.02
1_NSC58_20_25			soil metagenome	environmental soil	2019 agricultural soil core 58, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47553528 S 148.6842518 E								58	20	25	0.02	4.9	5.8	0.05	0.24	0.27	1.766	1.5	0.2	0.066	<0.02
1_NSC58_25_30			soil metagenome	environmental soil	2019 agricultural soil core 58, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47553528 S 148.6842518 E								58	25	30	0.02	4.4	5.3	0.05	0.15	0.27	1.277	1	0.21	0.067	<0.02
1_NSC59_5_10			soil metagenome	environmental soil	2019 agricultural soil core 59, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	10	15	0.04	5.6	6.4	0.07	0.36	0.23	2.68	2.2	0.38	0.1	<0.02
1_NSC59_10_15			soil metagenome	environmental soil	2019 agricultural soil core 59, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	5	10	0.08	7.1	7.7	0.07	0.71	0.24	6.52	5.9	0.43	0.19	<0.02
1_NSC59_20_25			soil metagenome	environmental soil	2019 agricultural soil core 59, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	20	25	0.02	4.3	5.3	<0.05	0.16	0.23	1.061	0.72	0.27	0.071	<0.02
1_NSC59_25_30			soil metagenome	environmental soil	2019 agricultural soil core 59, 25_30 cm	2019	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	25	30	0.02	4.4	5.3	<0.05	0.18	0.24	1.255	0.88	0.28	0.095	<0.02
1_NSC59_40_45			soil metagenome	environmental soil	2019 agricultural soil core 59, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47442233 S 148.6864941 E								59	40	45	0.03	5.3	6.2	<0.05	0.15	0.24	2.4	1.7	0.38	0.32	<0.02
1_NSC60_15_20			soil metagenome	environmental soil	2019 agricultural soil core 60, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.474779 S 148.6861311 E								60	15	20	0.08	6.6	7	0.05	0.43	0.24	4.657	4.3	0.26	0.097	<0.02
1_NSC60_0_5			soil metagenome	environmental soil	2019 agricultural soil core 60, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.474779 S 148.6861311 E								60	0	5	0.03	7.6	8.2	0.08	0.72	0.26	9.64	9.1	0.38	0.16	<0.02
1_NSC60_20_25			soil metagenome	environmental soil	2019 agricultural soil core 60, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.474779 S 148.6861311 E								60	20	25	0.05	6	6.5	<0.05	0.39	0.24	3.28	2.9	0.28	0.1	<0.02
2_NSC01_5_10			soil metagenome	environmental soil	2023 agricultural soil core 1, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47268092 S 148.687232 E								1	5	10	0.02	6.1	6.8	0.0799	1.205	NA	NA	NA	NA	NA	NA
2_NSC03_0_5			soil metagenome	environmental soil	2023 agricultural soil core 3, 0-5 cm	2023	Australia: New South Wales, Boorowa	34.47345778 S 148.6845149 E								3	0	5	0.02	6	7.1	0.1351	1.823	NA	NA	NA	NA	NA	NA
2_NSC03_5_10			soil metagenome	environmental soil	2023 agricultural soil core 3, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47345778 S 148.6845149 E								3	5	10	0.01	5	7.5	0.0673	0.774	NA	NA	NA	NA	NA	NA
2_NSC04_10_15			soil metagenome	environmental soil	2023 agricultural soil core 4, 10-15 cm	2023	Australia: New South Wales, Boorowa	34.47364483 S 148.6846819 E								4	10	15	0.01	5.8	7.4	0.0647	0.886	NA	NA	NA	NA	NA	NA
2_NSC04_5_10			soil metagenome	environmental soil	2023 agricultural soil core 4, 5-10 cm	2023	Australia: New South Wales, Boorowa	34.47364483 S 148.6846819 E								4	5	10	0.01	5.3	7.2	0.0495	0.664	NA	NA	NA	NA	NA	NA
