sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
1_NSC03_0_5	CSIRO2019_1_NSC03_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC03 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC03_0_5_q15_len300_sup.fastq.gz							
1_NSC51_0_5	CSIRO2019_1_NSC51_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC51 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC51_0_5_q15_len300_sup.fastq.gz							
1_NSC43_0_5	CSIRO2019_1_NSC43_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC43 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC43_0_5_q15_len300_sup.fastq.gz							
1_NSC16_0_5	CSIRO2019_1_NSC16_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC16 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC16_0_5_q15_len300_sup.fastq.gz							
1_NSC01_5_10	CSIRO2019_1_NSC01_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC01 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC01_5_10_q15_len300_sup.fastq.gz							
1_NSC40_0_5	CSIRO2019_1_NSC40_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC40 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC40_0_5_q15_len300_sup.fastq.gz							
1_NSC27_0_5	CSIRO2019_1_NSC27_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC27 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC27_0_5_q15_len300_sup.fastq.gz							
1_NSC03_5_10	CSIRO2019_1_NSC03_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC03 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC03_5_10_q15_len300_sup.fastq.gz							
1_NSC09_5_10	CSIRO2019_1_NSC09_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC09 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC09_5_10_q15_len300_sup.fastq.gz							
1_NSC21_5_10	CSIRO2019_1_NSC21_5_10	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC21 core  5-10 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC21_5_10_q15_len300_sup.fastq.gz							
