core,sample_id,barcode,location_x,location_y,lat_lon,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg
10,1_NSC10_30_35,NA,148.6848815,-34.47328141,34.47328141 S 148.6848815 E,2019,30,35,0.02,4.9,6,<0.05,0.36,1.1,9.812,6.2,0.28,3.3,0.032
11,1_NSC11_25_30,NA,148.6837779,-34.47417125,34.47417125 S 148.6837779 E,2019,25,30,0.02,4.8,5.8,<0.05,0.4,0.67,2.86,2,0.26,0.6,<0.02
11,1_NSC11_30_35,NA,148.6837779,-34.47417125,34.47417125 S 148.6837779 E,2019,30,35,0.02,5.2,6.2,<0.05,0.25,0.72,4.02,2.7,0.34,0.98,<0.02
11,1_NSC11_45_50,NA,148.6837779,-34.47417125,34.47417125 S 148.6837779 E,2019,45,50,0.02,5.9,6.8,<0.05,0.18,1.1,5.834,3.7,0.41,1.7,0.024
12,1_NSC12_15_20,72,148.68456,-34.47353831,34.47353831 S 148.68456 E,2019,15,20,0.03,5.5,6.4,0.05,0.51,0.56,3.68,3,0.31,0.37,<0.02
12,1_NSC12_0_5,NA,148.68456,-34.47353831,34.47353831 S 148.68456 E,2019,0,5,0.07,6.8,7.5,0.09,0.95,0.7,6.35,5.4,0.55,0.4,<0.02
12,1_NSC12_35_40,NA,148.68456,-34.47353831,34.47353831 S 148.68456 E,2019,35,40,0.02,5.7,6.8,<0.05,0.19,1,3.18,2.2,0.26,0.72,<0.02
12,1_NSC12_40_45,NA,148.68456,-34.47353831,34.47353831 S 148.68456 E,2019,40,45,0.02,5.8,6.9,<0.05,0.23,0.72,4.136,2.7,0.3,1.1,0.036
13,1_NSC13_25_30,NA,148.6858049,-34.47317851,34.47317851 S 148.6858049 E,2019,25,30,0.02,6.1,7.1,<0.05,0.16,0.58,2.987,1.9,0.15,0.86,0.077
13,1_NSC13_30_35,NA,148.6858049,-34.47317851,34.47317851 S 148.6858049 E,2019,30,35,0.02,6.2,7.3,<0.05,0.15,0.63,2.783,1.7,0.15,0.86,0.073
13,1_NSC13_35_40,NA,148.6858049,-34.47317851,34.47317851 S 148.6858049 E,2019,35,40,0.02,6.1,7.3,<0.05,0.16,0.62,3.568,2.1,0.18,1.2,0.088
14,1_NSC14_15_20,73,148.685472,-34.47340852,34.47340852 S 148.685472 E,2019,15,20,0.03,5.2,6.4,<0.05,0.3,0.93,2.83,2,0.22,0.52,0.09
14,1_NSC14_0_5,NA,148.685472,-34.47340852,34.47340852 S 148.685472 E,2019,0,5,0.09,6.7,7.4,0.12,1.2,0.94,6.961,5.7,0.5,0.7,0.061
14,1_NSC14_35_40,NA,148.685472,-34.47340852,34.47340852 S 148.685472 E,2019,35,40,0.03,5.8,7.5,<0.05,0.15,3.3,6.2,2.6,0.16,2.7,0.74
14,1_NSC14_40_45,NA,148.685472,-34.47340852,34.47340852 S 148.685472 E,2019,40,45,0.04,6.2,7.6,<0.05,0.19,7.7,12.74,4.9,0.24,6,1.6
15,1_NSC15_10_15,60,148.6855308,-34.4730831,34.4730831 S 148.6855308 E,2019,10,15,0.06,5.2,6,0.11,1.06,0.62,4.537,3.8,0.2,0.49,0.047
15,1_NSC15_25_30,NA,148.6855308,-34.4730831,34.4730831 S 148.6855308 E,2019,25,30,0.02,5.9,7,<0.05,0.29,0.87,2.635,1.9,0.16,0.5,0.075
15,1_NSC15_35_40,NA,148.6855308,-34.4730831,34.4730831 S 148.6855308 E,2019,35,40,0.02,6.2,7.4,<0.05,0.25,1.7,3.967,2.7,0.17,1,0.097
15,1_NSC15_40_45,NA,148.6855308,-34.4730831,34.4730831 S 148.6855308 E,2019,40,45,0.03,6.3,7.4,<0.05,0.34,1.2,8.84,5.8,0.27,2.6,0.17
16,1_NSC16_0_5,31,148.6856973,-34.47378412,34.47378412 S 148.6856973 E,2019,0,5,0.09,7,7.6,0.16,1.95,1.1,10.67,9,0.96,0.71,<0.02
16,1_NSC16_35_40,NA,148.6856973,-34.47378412,34.47378412 S 148.6856973 E,2019,35,40,0.05,7,7.8,<0.05,0.6,0.64,5.802,4.1,0.51,1.1,0.092
16,1_NSC16_40_45,NA,148.6856973,-34.47378412,34.47378412 S 148.6856973 E,2019,40,45,0.18,7.2,7.7,0.05,0.39,2.7,6.18,3.8,0.82,1.4,0.16
17,1_NSC17_0_5,25,148.6876939,-34.47290898,34.47290898 S 148.6876939 E,2019,0,5,0.1,5.5,6.1,0.16,1.24,0.77,5.752,4.6,0.53,0.6,0.022
17,1_NSC17_10_15,61,148.6876939,-34.47290898,34.47290898 S 148.6876939 E,2019,10,15,0.03,5.1,6,0.06,0.48,0.54,2.54,2,0.31,0.23,<0.02
17,1_NSC17_15_20,74,148.6876939,-34.47290898,34.47290898 S 148.6876939 E,2019,15,20,0.03,4.8,5.8,<0.05,0.27,0.48,1.69,1.2,0.29,0.2,<0.02
18,1_NSC18_15_20,75,148.6855964,-34.47364124,34.47364124 S 148.6855964 E,2019,15,20,0.05,5.4,6.5,<0.05,0.39,0.59,3.33,2,0.25,0.76,0.32
18,1_NSC18_20_25,NA,148.685596,-34.473641,34.473641 S 148.685596 E,2019,20,25,0.04,5.7,7,<0.05,0.24,0.9,3.12,1.8,0.25,0.77,0.3
