core,sample_id,barcode,location_x,location_y,lat_lon,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg
43,1_NSC43_20_25,NA,148.6846028,-34.47458367,34.47458367 S 148.6846028 E,2019,20,25,0.02,5.2,6.2,<0.05,0.24,1.1,3.16,2.2,0.41,0.55,<0.02
43,1_NSC43_25_30,NA,148.6846028,-34.47458367,34.47458367 S 148.6846028 E,2019,25,30,0.03,5.4,6.3,<0.05,0.25,0.47,3.56,2.4,0.4,0.76,<0.02
43,1_NSC43_35_40,NA,148.6846028,-34.47458367,34.47458367 S 148.6846028 E,2019,35,40,0.03,5.9,6.8,<0.05,0.25,2,5.45,3.4,0.52,1.5,0.03
44,1_NSC44_40_45,NA,148.6837923,-34.47488338,34.47488338 S 148.6837923 E,2019,40,45,0.03,5.7,6.6,<0.05,0.24,3.8,5.839,3.3,0.58,1.9,0.059
44,1_NSC44_45_50,NA,148.6837923,-34.47488338,34.47488338 S 148.6837923 E,2019,45,50,0.03,5.7,6.7,<0.05,0.28,5,6.068,3.3,0.57,2.1,0.098
45,1_NSC45_5_10,51,148.6845872,-34.47489046,34.47489046 S 148.6845872 E,2019,5,10,0.1,6.6,7.2,0.09,0.98,0.76,7.004,5.9,0.68,0.4,0.024
45,1_NSC45_10_15,65,148.6845872,-34.47489046,34.47489046 S 148.6845872 E,2019,10,15,0.06,5.5,6.3,0.07,0.73,1.3,4.466,3.5,0.62,0.32,0.026
45,1_NSC45_35_40,NA,148.6845872,-34.47489046,34.47489046 S 148.6845872 E,2019,35,40,0.02,6.2,7.3,<0.05,0.21,1.9,5.442,3.9,0.59,0.93,0.022
46,1_NSC46_10_15,66,148.6869661,-34.47407318,34.47407318 S 148.6869661 E,2019,10,15,0.03,5.4,6.3,<0.05,0.45,0.83,3.794,3.1,0.25,0.42,0.024
46,1_NSC46_20_25,NA,148.6869661,-34.47407318,34.47407318 S 148.6869661 E,2019,20,25,0.04,4.5,5.3,<0.05,0.3,0.4,2.819,2,0.28,0.51,0.029
46,1_NSC46_30_35,NA,148.6869661,-34.47407318,34.47407318 S 148.6869661 E,2019,30,35,0.02,4.9,6,<0.05,0.15,0.6,1.53,1,0.24,0.29,<0.02
47,1_NSC47_20_25,NA,148.6876881,-34.47424354,34.47424354 S 148.6876881 E,2019,20,25,0.02,4.4,5.7,<0.05,0.37,0.92,1.54,1.1,0.31,0.13,<0.02
47,1_NSC47_30_35,NA,148.6876881,-34.47424354,34.47424354 S 148.6876881 E,2019,30,35,0.02,4.9,6,<0.05,0.2,0.25,1.56,1.1,0.28,0.18,<0.02
47,1_NSC47_35_40,NA,148.6876881,-34.47424354,34.47424354 S 148.6876881 E,2019,35,40,0.02,5.4,6.6,<0.05,0.19,1.1,1.9,1.3,0.35,0.25,<0.02
48,1_NSC48_25_30,NA,148.6841924,-34.47529264,34.47529264 S 148.6841924 E,2019,25,30,0.03,4.8,5.8,<0.05,0.27,0.56,2.57,1.8,0.43,0.34,<0.02
48,1_NSC48_30_35,NA,148.6841924,-34.47529264,34.47529264 S 148.6841924 E,2019,30,35,0.02,5.5,6.4,<0.05,0.34,0.84,3.78,2.7,0.5,0.58,<0.02
48,1_NSC48_40_45,NA,148.6841924,-34.47529264,34.47529264 S 148.6841924 E,2019,40,45,0.04,6,6.9,<0.05,0.29,1,5.78,4.1,0.58,1.1,<0.02
49,1_NSC49_0_5,23,148.6847412,-34.47496949,34.47496949 S 148.6847412 E,2019,0,5,0.13,7.2,7.8,0.15,1.79,1.3,11.71,10,0.89,0.82,<0.02
49,1_NSC49_20_25,NA,148.6847412,-34.47496949,34.47496949 S 148.6847412 E,2019,20,25,0.05,6.4,7.3,0.05,0.48,0.7,6.179,4.4,0.82,0.93,0.029
49,1_NSC49_40_45,NA,148.6847412,-34.47496949,34.47496949 S 148.6847412 E,2019,40,45,0.04,6.6,7.7,<0.05,0.33,2.7,7.286,4.6,1.1,1.5,0.086
50,1_NSC50_5_10,52,148.6853223,-34.47516886,34.47516886 S 148.6853223 E,2019,5,10,0.11,7.3,7.8,0.09,1.09,0.65,9.56,8.5,0.59,0.47,<0.02
50,1_NSC50_25_30,NA,148.685322,-34.475169,34.475169 S 148.685322 E,2019,25,30,0.03,4.6,5.6,0.06,0.45,0.79,4.21,2.5,0.61,1.1,<0.02
50,1_NSC50_40_45,NA,148.685322,-34.475169,34.475169 S 148.685322 E,2019,40,45,0.03,5.5,6.4,<0.05,0.43,1.5,7.959,4.3,0.61,3,0.049
51,1_NSC51_0_5,29,148.6866646,-34.47423964,34.47423964 S 148.6866646 E,2019,0,5,0.09,6.7,7.3,0.06,0.69,1.9,5.34,4.8,0.38,0.16,<0.02
51,1_NSC51_25_30,NA,148.6866646,-34.47423964,34.47423964 S 148.6866646 E,2019,25,30,0.02,4.2,5.1,<0.05,0.23,0.39,1.22,0.85,0.26,0.11,<0.02
51,1_NSC51_30_35,NA,148.6866646,-34.47423964,34.47423964 S 148.6866646 E,2019,30,35,0.03,4.3,5.2,<0.05,0.19,0.38,1.45,0.99,0.3,0.16,<0.02
51,1_NSC51_35_40,NA,148.6866646,-34.47423964,34.47423964 S 148.6866646 E,2019,35,40,0.03,4.4,5.2,<0.05,0.15,0.39,1.73,1.2,0.32,0.21,<0.02
52,1_NSC52_5_10,53,148.6877886,-34.47382738,34.47382738 S 148.6877886 E,2019,5,10,0.1,7.2,7.7,0.09,0.87,0.44,6.84,6.1,0.45,0.29,<0.02
52,1_NSC52_15_20,84,148.6877886,-34.47382738,34.47382738 S 148.6877886 E,2019,15,20,0.03,5.3,6.3,<0.05,0.23,0.28,1.76,1.3,0.27,0.19,<0.02
52,1_NSC52_20_25,NA,148.6877886,-34.47382738,34.47382738 S 148.6877886 E,2019,20,25,0.03,5.2,6.1,<0.05,0.19,0.7,1.82,1.3,0.31,0.21,<0.02
52,1_NSC52_40_45,NA,148.6877886,-34.47382738,34.47382738 S 148.6877886 E,2019,40,45,0.04,5.4,6.2,<0.05,0.24,0.91,4.803,3,0.57,1.2,0.033
53,1_NSC53_5_10,54,148.6856926,-34.47463176,34.47463176 S 148.6856926 E,2019,5,10,0.07,6.5,7.1,0.06,0.63,0.5,5.43,4.8,0.39,0.24,<0.02
53,1_NSC53_20_25,NA,148.6856926,-34.47463176,34.47463176 S 148.6856926 E,2019,20,25,0.03,4.2,5.1,<0.05,0.24,0.5,1.84,1.2,0.39,0.25,<0.02
53,1_NSC53_45_50,NA,148.6856926,-34.47463176,34.47463176 S 148.6856926 E,2019,45,50,0.03,5.7,6.5,<0.05,0.26,1.2,6.87,3.9,0.87,2.1,<0.02
54,1_NSC54_25_30,NA,148.6879704,-34.47366257,34.47366257 S 148.6879704 E,2019,25,30,0.02,4.9,6,<0.05,0.18,0.28,1.41,1,0.28,0.13,<0.02
54,1_NSC54_30_35,NA,148.6879704,-34.47366257,34.47366257 S 148.6879704 E,2019,30,35,0.02,5.1,6.2,<0.05,0.17,0.55,1.6,1.1,0.32,0.18,<0.02
54,1_NSC54_40_45,NA,148.6879704,-34.47366257,34.47366257 S 148.6879704 E,2019,40,45,0.02,5.5,6.6,<0.05,0.18,0.29,1.97,1.4,0.3,0.27,<0.02
55,1_NSC55_5_10,55,148.6875916,-34.473776,34.473776 S 148.6875916 E,2019,5,10,0.07,6.5,7.2,0.08,0.95,2.1,6.08,5.2,0.54,0.34,<0.02
55,1_NSC55_25_30,NA,148.6875916,-34.473776,34.473776 S 148.6875916 E,2019,25,30,0.02,5.2,6.3,<0.05,0.23,1.6,2.631,1.8,0.38,0.41,0.041
55,1_NSC55_35_40,NA,148.6875916,-34.473776,34.473776 S 148.6875916 E,2019,35,40,0.02,5.7,6.9,0.07,0.2,3.3,4.407,2.8,0.65,0.93,0.027
56,1_NSC56_25_30,NA,148.6869832,-34.47437951,34.47437951 S 148.6869832 E,2019,25,30,0.02,4.7,5.7,<0.05,0.2,0.31,2,1.4,0.27,0.33,<0.02
56,1_NSC56_30_35,NA,148.6869832,-34.47437951,34.47437951 S 148.6869832 E,2019,30,35,0.02,5.1,6.2,<0.05,0.2,0.34,2.87,2,0.31,0.56,<0.02
56,1_NSC56_40_45,NA,148.6869832,-34.47437951,34.47437951 S 148.6869832 E,2019,40,45,0.03,5.5,6.4,<0.05,0.21,0.55,5.412,3.5,0.48,1.4,0.032
56,1_NSC56_45_50,NA,148.6869832,-34.47437951,34.47437951 S 148.6869832 E,2019,45,50,0.03,5.7,6.7,<0.05,0.17,0.6,5.551,3.5,0.51,1.5,0.041
57,1_NSC57_30_35,NA,148.6843875,-34.47524487,34.47524487 S 148.6843875 E,2019,30,35,0.05,5,5.7,<0.05,0.24,0.53,4.588,3.1,0.46,1,0.028
57,1_NSC57_40_45,NA,148.6843875,-34.47524487,34.47524487 S 148.6843875 E,2019,40,45,0.03,5.6,6.5,<0.05,0.21,0.78,5.837,3.9,0.49,1.4,0.047
57,1_NSC57_45_50,NA,148.6843875,-34.47524487,34.47524487 S 148.6843875 E,2019,45,50,0.03,5.8,6.8,0.05,0.36,0.77,6.28,4.3,0.42,1.5,0.06
58,1_NSC58_10_15,67,148.6842518,-34.47553528,34.47553528 S 148.6842518 E,2019,10,15,0.06,6.8,7.5,0.05,0.52,0.26,4.94,4.5,0.29,0.15,<0.02
58,1_NSC58_20_25,NA,148.6842518,-34.47553528,34.47553528 S 148.6842518 E,2019,20,25,0.02,4.9,5.8,0.05,0.24,0.27,1.766,1.5,0.2,0.066,<0.02
58,1_NSC58_25_30,NA,148.6842518,-34.47553528,34.47553528 S 148.6842518 E,2019,25,30,0.02,4.4,5.3,0.05,0.15,0.27,1.277,1,0.21,0.067,<0.02
59,1_NSC59_5_10,56,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2019,10,15,0.04,5.6,6.4,0.07,0.36,0.23,2.68,2.2,0.38,0.1,<0.02
59,1_NSC59_10_15,68,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2019,5,10,0.08,7.1,7.7,0.07,0.71,0.24,6.52,5.9,0.43,0.19,<0.02
59,1_NSC59_20_25,NA,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2019,20,25,0.02,4.3,5.3,<0.05,0.16,0.23,1.061,0.72,0.27,0.071,<0.02
59,1_NSC59_25_30,NA,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2019,25,30,0.02,4.4,5.3,<0.05,0.18,0.24,1.255,0.88,0.28,0.095,<0.02
59,1_NSC59_40_45,NA,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2019,40,45,0.03,5.3,6.2,<0.05,0.15,0.24,2.4,1.7,0.38,0.32,<0.02
60,1_NSC60_15_20,85,148.6861311,-34.474779,34.474779 S 148.6861311 E,2019,15,20,0.08,6.6,7,0.05,0.43,0.24,4.657,4.3,0.26,0.097,<0.02
60,1_NSC60_0_5,NA,148.6861311,-34.474779,34.474779 S 148.6861311 E,2019,0,5,0.03,7.6,8.2,0.08,0.72,0.26,9.64,9.1,0.38,0.16,<0.02
60,1_NSC60_20_25,NA,148.6861311,-34.474779,34.474779 S 148.6861311 E,2019,20,25,0.05,6,6.5,<0.05,0.39,0.24,3.28,2.9,0.28,0.1,<0.02
